scenario,variant,run,seed,success,terminal_reason,time_s,performance_mode,time_to_goal_s,path_m,path_efficiency,min_clearance_m,cte_rms_m,cte_p95_m,peak_xy_speed_m_s,peak_accel_m_s2,compute_p50_ms,compute_p95_ms,compute_p99_ms,compute_max_ms,deadline_misses,min_safe_samples,ess_min,collision,median_safe_samples,ess_median,best_feasible_cost_min,best_feasible_cost_median,no_safe_trajectory_events,disconnected_events,stale_command_events,late_command_accepted,stale_command_violations,setpoint_while_disarmed,setpoint_in_wrong_mode,replan_latency_ms,replan_to_command_ms
S10,disarm,4,7,true,observed adapter state CONNECTED_NOT_READY,6.39996,true,,14.834,0.971595,2.04806,0.262461,0.373071,6.56631,130.718,4.08104,5.41709,5.70461,5.74879,0,80,1,false,80,1,-99008.4,-60295,0,0,0,0,0,0,0,,
S10,fcu_disconnect,1,7,true,observed adapter state DISCONNECTED,6.4005,true,,14.8685,0.984439,4.71355,0.252763,0.363252,6.04648,2.97566,4.09423,5.22856,5.41075,5.46196,0,80,1,false,80,1,-101305,-55936.1,0,2,0,0,0,0,0,,
S10,local_planner_death,2,7,true,observed adapter state STALE_COMMAND,5.49658,true,,7.52913,0.968637,4.84268,0.245766,0.38186,5.02232,2.85916,4.13281,5.47085,5.50744,5.51154,0,80,1,false,80,1,-116424,-57170.8,0,0,1,0,0,0,0,,
S10,wrong_mode,3,7,true,observed adapter state CONNECTED_NOT_READY,6.09982,true,,12.5928,0.981233,4.5055,0.234363,0.372338,6.03542,290.503,4.14187,5.16129,5.22385,5.2525,0,80,1,false,80,1,-106371,-72025.3,0,0,0,0,0,0,0,,
