scenario,variant,run,seed,success,terminal_reason,time_s,performance_mode,time_to_goal_s,path_m,path_efficiency,min_clearance_m,cte_rms_m,cte_p95_m,peak_xy_speed_m_s,peak_accel_m_s2,compute_p50_ms,compute_p95_ms,compute_p99_ms,compute_max_ms,deadline_misses,min_safe_samples,ess_min,collision,median_safe_samples,ess_median,best_feasible_cost_min,best_feasible_cost_median,no_safe_trajectory_events,disconnected_events,stale_command_events,late_command_accepted,stale_command_violations,setpoint_while_disarmed,setpoint_in_wrong_mode,replan_latency_ms,replan_to_command_ms
S03,base,3,27,false,scenario timeout,60.0989,true,,66.186,0.303241,0.001152,5.04265,7.35957,4.34069,24.2021,11.9275,14.5139,14.9586,41.5523,0,0,0,false,0,0,-41108.2,50346.9,481,0,410,0,0,0,0,,
S03,base,4,37,true,observed local mode GOAL_REACHED,11.6297,true,11.6296,24.358,0.663403,1.50332,0.574267,1.07338,3.83351,3.0758,12.5514,14.6572,15.1202,15.2228,0,10,1,false,79,1,-51962.2,-24431.6,0,0,0,0,0,0,0,,
S03,base,5,47,false,scenario timeout,60.0818,true,,23.7239,0.74434,0.011418,4.17361,5.59832,7.47127,99.9507,11.4401,14.4236,14.652,14.9095,0,0,0,false,0,0,-42391.4,-35090.2,105,16,121,0,0,0,0,,
S03,base,6,57,false,scenario timeout,60.0996,true,,26.1124,0.746276,0.008697,5.11205,5.46219,7.89963,104.58,11.4444,14.0825,19.1563,76.9351,0,0,0,false,0,0,-40836.9,-37299.5,552,0,128,0,0,0,0,,
S03,base,9,87,true,observed local mode GOAL_REACHED,10.4935,true,10.4934,22.888,0.722208,1.50863,0.476006,0.736386,3.87983,2.84041,12.4103,13.5075,13.833,14.0076,0,5,1,false,77.5,1,-54671.8,-28257.5,0,0,0,0,0,0,0,,
S05,base,3,27,true,observed local mode GOAL_REACHED,15.7319,true,15.7318,40.1419,0.647631,0.752365,1.92652,4.75829,5.46844,3.40295,4.64837,7.03613,8.02932,8.12583,0,0,0,false,80,1,-61937.9,-7640.07,11,0,20,0,0,0,0,,
S06,base,6,57,true,observed local mode GOAL_REACHED,25.9891,true,25.989,160.055,0.936487,4.26358,3.40882,6.36153,9.59895,4.22963,6.33071,7.5251,8.88745,12.2907,0,80,1,false,80,1,-139781,-87900.7,0,0,0,0,0,0,0,,
