file,seed,kind,label,cycle,speed_m_s,distance_to_first_turn_m,K,realization,rng_seed,n_safe,hit,solve_ms,best_feasible_cost,delta_j_safe,delta_j_safe_over_lambda,ess_safe,best_stop_clearance_m,best_collision_clearance_m,best_first_raw_control,best_first_conditioned_control
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,160,12,7003212,0,False,109.95429199829232,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,160,13,7003213,0,False,100.02129100030288,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,160,14,7003214,0,False,96.00725000200327,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,160,15,7003215,0,False,91.42774999781977,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,160,16,7003216,0,False,122.23329099651892,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,160,17,7003217,0,False,101.2515420006821,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,160,18,7003218,0,False,99.44620801252313,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,160,19,7003219,0,False,100.18424999725539,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,0,7006400,0,False,176.30429098790046,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,1,7006401,0,False,172.97162499744445,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,2,7006402,0,False,175.10479199700058,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,3,7006403,0,False,176.56016600085422,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,4,7006404,0,False,225.31404199253302,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,5,7006405,0,False,174.69454200181644,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,6,7006406,0,False,177.95604199636728,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,7,7006407,0,False,175.30129100487102,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,8,7006408,0,False,174.45595900062472,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,9,7006409,0,False,173.96554100560024,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,10,7006410,0,False,181.89049999637064,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,11,7006411,0,False,179.58683300821576,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,12,7006412,0,False,175.90441700303927,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,13,7006413,0,False,176.03724999935366,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,14,7006414,0,False,175.99050000717398,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,15,7006415,0,False,174.46958301297855,,,,0.0,,,,
seed17_failure_first_occurrence_cycle77.npz,17,failure,first_occurrence,77,8.514259600019262,13.804748379625948,320,16,7006416,0,False,193.3375829976285,,,,0.0,,,,
